ID	label	H3k4me1	H3k4me3	H3k27ac	H3k27me3	H3k36me3
enhancer_1	1	0.00016751083814810967	1.0897992792140316	3.7066773535217328	1.8394184949654548	1.0004136980643783
enhancer_2	1	0.3550985916966041	0.0	2.2477421291746684	1.5917635351147101	0.0
enhancer_3	1	0.0012357296014762886	0.0	2.9409141849217866	0.8142107184420991	2.6961223313584557
enhancer_4	1	0.690139840552024	0.0	0.6873314872318916	0.0	0.527291187439071
enhancer_5	1	1.3767695288573596	0.6312673276677333	2.090755580277306	1.5816671143838887	0.7939762919201283
enhancer_6	1	0.31446885312003076	0.0	5.694592056559354	1.5849865556803113	2.783852056054771
enhancer_7	1	0.40718712546735913	0.5900950245826462	0.06304771011682408	0.5599183416114653	0.3709418268943836
enhancer_8	1	1.2941322674028033	1.001001035198029	3.2538730206234314	0.42214111226403245	2.1624971895046734
enhancer_9	1	1.2381135578628268	1.268546249259068	1.5159840384132501	1.174424422857284	0.5205944700810434
enhancer_10	1	1.3973018798308323	0.38222538322092603	3.197247721134313	0.514825591863165	1.0544956625637207
enhancer_11	1	0.05903411124425186	0.19067263725323647	5.974070546279812	1.4037333285873381	1.0749346820994974
enhancer_12	1	6.171443759809104	2.62310919708936	0.9898793630507912	0.0	0.23493248437876546
enhancer_13	1	3.359905164296446	0.0	1.3102943722962994	0.20063693852592218	0.8174769703046989
enhancer_14	1	0.0004987516562395358	0.0	4.105647337104474	0.9811124443594804	0.6253142277599095
enhancer_15	1	0.045962856114379884	0.0	3.7668975475910846	2.7393741722714737	0.5875492531076056
enhancer_16	1	0.0691692525729321	0.0	4.192831080145804	0.8811606569725806	1.0441070407566035
enhancer_17	1	0.174920319576001	1.3570949162496837	0.0	1.3337916263539384	0.0
enhancer_18	1	1.0381685853702554	0.34417736613585126	0.0	0.0	0.7402816432011585
enhancer_19	1	0.07156263114382053	0.6183364194028914	1.0470694578934578	0.28316530557681135	0.4783569158418838
enhancer_20	1	1.2084585417347957	0.7662964020486585	1.5344129420088084	0.0	0.3743710040454522
enhancer_21	1	5.052514122437774	1.5060231107060733	0.0	0.0	1.63600391753964
enhancer_22	1	0.7084842839978991	0.46661677998339707	1.3949073704437742	0.0	3.3602345960993745
enhancer_23	1	1.1186257020085493	1.2408054176313654	0.632225449047773	1.1647387389518187	0.5427989368128237
enhancer_24	1	2.0429713781677705	0.3822859587133937	0.0	1.2283923306930427	2.5620044742715167
enhancer_25	1	3.8196096101464456	1.5106133156609354	2.981478934185835	1.3834452881086925	0.0
enhancer_26	1	0.053251358375390925	0.0	0.0	0.5073794966343786	0.875920305266211
enhancer_27	1	0.3226864480780585	2.982784368348141	3.1334546316050185	0.0	0.0
enhancer_28	1	0.2992751162068952	1.6677821384349918	3.496201170164904	1.0018477845620128	1.1303581425386722
enhancer_29	1	2.164635038762672	0.14508140073755904	2.5768224965996427	1.1632838049940835	1.9355857989143188
enhancer_30	1	0.4542591578805658	0.18578808021323645	5.613369613896152	0.07381022498206097	0.8465061095122856
enhancer_31	1	0.1460490053582722	2.306454061225937	3.23203171584626	1.5808907831926902	1.0431749957224623
enhancer_32	1	2.6615513281462917	2.2353244654002187	0.0	0.0	1.763231212559839
enhancer_33	1	0.9760355104839333	1.525156933218463	0.0	1.343477541526914	0.258909645829151
enhancer_34	1	1.829334196297227	0.2965223291383805	3.0691953482683805	2.052794036031342	0.50218429213659
enhancer_35	1	2.4403900475587976	1.6560892242986593	1.1904313638225719	0.0	0.608041821700592
enhancer_36	1	0.25772380344170026	1.8933914834442283	0.0	0.6925568876097499	0.8803697496303168
enhancer_37	1	0.5252874938816083	0.10780057711788771	0.23329160882646782	0.0	0.4711193410760627
enhancer_38	1	1.7441302289938307	0.7981394458507814	0.0	2.0487782160346955	2.1205318741186767
enhancer_39	1	0.007349405656373019	3.3486508811012445	2.5884613644540666	0.8883916234203895	0.39330976685018126
